lat,lon,band1,band2,band3,band4,band5,band6,band7,irradiance
-8744850.0,184950.0,0.09803353190307464,0.08038792155784209,0.056213274757881126,0.26794251446228057,0.1244002122887365,294.38536538271234,0.0451102451328354,200.8732203254978
-8744850.0,189900.0,0.09736916561013771,0.09636041934950434,0.07383623610881145,0.3570959706557631,0.20993916016237374,297.94919151403025,0.09943109694988711,212.03201871781252
-8744850.0,219600.0,0.09514372255562893,0.08524674490243252,0.06769505996260455,0.30223811176801346,0.15227913467534376,293.09768590219886,0.06988969107355225,210.30993651688624
-8744850.0,225000.0,0.09519447643610979,0.09199065979479737,0.0637587354052586,0.35828869798443075,0.184051285025664,296.16295164111864,0.0755643176970236,208.7649269307724
-8744850.0,229950.0,0.09532140673845023,0.0832024971021923,0.05022400887446404,0.3484582337473779,0.15226007281368903,296.36411790228277,0.05454122854221838,199.65970667182896
-8744850.0,234900.0,0.09547808548543556,0.07821279387737655,0.05280401932615772,0.29290882557509906,0.135600177339368,295.53042929310783,0.04755152934043478,201.59666640644284
-8744850.0,249750.0,0.09563363056686741,0.07975227161381768,0.06146017436523847,0.2693971625555676,0.14006900841929176,294.66518617699865,0.05817272188598825,207.67285513273902
-8744850.0,254700.0,0.09546244441723466,0.07391187270201677,0.0467211745914177,0.24059135788721286,0.11002502820619,296.2299708177089,0.03681057284679602,208.3400453028053
-8744850.0,259650.0,0.0951672891626857,0.0733687426210592,0.046637586483651225,0.24639954302537917,0.11077105492469999,295.7856374830442,0.03940453696919308,208.94663285270178
-8739900.0,135000.0,0.09771389804768961,0.08989928804100863,0.05578482006488113,0.37720192938078595,0.1747987235124975,296.27225815731083,0.06212400981767152,196.05232163111634
-8739900.0,139950.0,0.09838253084671107,0.09745181584021127,0.07152631018604963,0.365223572539131,0.21067647007680498,297.909398139669,0.09633283781299584,211.81701042285349
-8739900.0,144900.0,0.09886010543125696,0.0803586751776923,0.05012290183281785,0.2932838608238573,0.130218073403664,296.20618703744447,0.04315653603977858,197.20842091153804
-8739900.0,154800.0,0.09924164752507782,0.09144468519376546,0.06649345879430177,0.325786622433946,0.1600815121045065,293.7729607593847,0.06631407406839725,203.74611844680246
-8739900.0,169650.0,0.09868789127932526,0.08789029823890551,0.06590408197211971,0.31048386769501285,0.15631796905958223,294.3171974606753,0.062590265726123,202.16691985359392
-8739900.0,184950.0,0.09735124124227701,0.08447271361291966,0.055293599618813305,0.31979760338815033,0.15261141361278752,295.8629659095808,0.05587836484539532,200.48854688234704
-8739900.0,189900.0,0.09685372717210705,0.08186754388058252,0.05919637436564305,0.28061299101788434,0.131613485654177,293.44460670418266,0.0524375384366588,204.36318143004982
-8739900.0,199800.0,0.09589296371253525,0.07685564979609383,0.046937429644903925,0.2736661717957812,0.10959250419265151,295.8803740973706,0.03771886387530703,202.49131757596132
-8739900.0,214650.0,0.09491407746208794,0.08452214420211093,0.06047950738256112,0.30363099834063734,0.15115571320820076,295.02053982994073,0.059948415734963824,204.37905212205865
-8739900.0,219600.0,0.094785448222525,0.08461052076416542,0.061681748511388,0.30624229665813535,0.15224362605111824,294.9177186646551,0.05966421232608189,204.68682976404878
-8739900.0,234900.0,0.09489291966299143,0.07915632533624989,0.05228738063043493,0.2886983883727458,0.1323389355474445,295.0085705554257,0.05018336223766582,203.68947981265012
-8739900.0,249750.0,0.09491851031392944,0.07761210385782805,0.04814064516301057,0.2831778919196902,0.13485762561997724,296.339223550354,0.04780332823028208,204.095267581356
-8739900.0,254700.0,0.09473880892092595,0.08128631844718986,0.05179065406250765,0.30465419519058184,0.1333193184822105,295.6353020190955,0.04574194696239425,200.0921920378358
-8739900.0,259650.0,0.09445209993966859,0.09018063442168221,0.06445796554391026,0.3344925064660883,0.18853191911927325,297.28263556020727,0.080293415777558,209.12193347341122
-8739900.0,264600.0,0.09408344239291078,0.08139390563003292,0.055322511008559026,0.30611073328090993,0.15235304315798498,295.8802804646325,0.060032178350464926,202.51155101375906
-8734950.0,129600.0,0.09420457224586977,0.07506758056126771,0.046495590283264804,0.279252853364701,0.11699955714638074,295.89538718936274,0.0399648705005966,196.65544013650145
-8734950.0,154800.0,0.09704214558620891,0.08104313215808534,0.05036630228263277,0.3136346052773635,0.14328191278993724,296.42411543301023,0.048060665368419346,199.0305759699079
-8734950.0,174600.0,0.09714234614636992,0.0755995245856822,0.05194125774562565,0.24560199651390194,0.11548706459983797,295.2332808789529,0.04016343893588127,196.6634176069495
-8734950.0,189900.0,0.09647155540668986,0.07448614885147342,0.04612638674584313,0.26009220883197,0.11271793013334865,296.31991797254943,0.03726811471006585,201.56632328955615
-8734950.0,194850.0,0.09614459735012848,0.0851580321358526,0.06025292024403088,0.30394640729409017,0.1515939182918245,295.21212665547006,0.05902993369564585,201.86290621597408
-8734950.0,199800.0,0.09578811161666144,0.07422426106448432,0.0499595979976693,0.23439899755062182,0.1110365194147215,295.0841900240764,0.04074081182100508,202.33751181726146
-8734950.0,204750.0,0.09542763214773277,0.07441589806084639,0.0480467580368595,0.24409925916977293,0.1174675156703995,296.3827215111936,0.03890745008290933,204.17562745320626
-8734950.0,219600.0,0.09459856489452251,0.08407433445033297,0.057115633788988304,0.3094815535886504,0.13820061920877277,294.06904357479715,0.053545067268559926,205.08387352171894
-8734950.0,234900.0,0.0943723952630109,0.08505125429050325,0.0651085863248562,0.2940210955649469,0.14878096832890705,293.7499663699548,0.06641933448464796,208.63747810685658
-8734950.0,249750.0,0.09417582815914197,0.07978033239937286,0.05132298655270112,0.30437899070965313,0.13215574662149776,295.21889615161075,0.04798834078904065,201.2392565214605
-8734950.0,274950.0,0.09260757893431133,0.08094538848291442,0.05462130973374113,0.30415694075970684,0.13703267524474574,294.3764917288316,0.05384545275818915,205.00492783999258
-8734950.0,279900.0,0.0923842074280817,0.07217228565767209,0.045995067105278425,0.2550774115285767,0.10286953519986625,295.8369517341892,0.032543147450082174,208.192674831354
-8730000.0,129600.0,0.09147551735403245,0.08032244717955958,0.05236160034282965,0.3137835638280895,0.1438390352543475,295.5576737463537,0.053645795604952556,199.48776139260053
-8730000.0,144900.0,0.09369399826804367,0.08560448190641776,0.06689537900897355,0.3047178166989113,0.16497016585895125,294.8952053775756,0.07330042208015762,204.07504059700813
-8730000.0,159750.0,0.09506698117303977,0.0801531300172498,0.051894583215813854,0.29451447863092073,0.13576768558284624,295.7783627583539,0.04762736917763768,198.52091479165648
-8730000.0,184950.0,0.09620985156362068,0.0753344812277958,0.053543699854330225,0.24776180571971398,0.10208382794564409,292.547557115094,0.03912675548331587,201.70690081998444
-8730000.0,194850.0,0.09605151941969219,0.0755305595405342,0.05203750957739953,0.2490882283918209,0.10294219949675368,294.3240417882144,0.034996227164529874,200.4367429987105
-8730000.0,219600.0,0.09454703255457704,0.08420720503680929,0.05877653025638835,0.3036074580254857,0.1583309625434755,296.04499949749226,0.06361052471216047,203.22732215848595
-8730000.0,225000.0,0.09427124858999615,0.08182633660644528,0.05462265431085521,0.301530577732643,0.13385864473955825,294.3997229083529,0.050976650622356574,204.50693668884438
-8730000.0,249750.0,0.0934380904713196,0.0709059440845294,0.04264402823667913,0.24279582627876212,0.12358312505590299,296.7390677714755,0.0431150017291606,211.86605408217696
-8730000.0,254700.0,0.09318863530046624,0.08308294451554085,0.05827121580102125,0.31073689449791425,0.150664687508696,295.27576259298263,0.05707960718609895,202.84744297760514
-8730000.0,274950.0,0.09193382736663958,0.07668120531238001,0.054331146179351676,0.277612184681704,0.12559177803566648,293.9000802952263,0.04641373179532057,207.69346784696654
-8724600.0,124650.0,0.08780003961116285,0.07154477750383459,0.044813348874669354,0.271483027499706,0.12534190001981924,296.0252349105914,0.04345723176120072,195.53083680950186
-8724600.0,129600.0,0.08855343292191956,0.0794574641955292,0.051824349729761174,0.32191824147105846,0.146438999576974,295.6331940262408,0.05414328436326958,202.37882756655614
-8724600.0,144900.0,0.0907480752214864,0.07894260252013457,0.05756107789352523,0.27740244257242513,0.1374300754615505,294.84894423521695,0.05326214802734605,202.35768680631355
